Player,Team,draft_year,draft_round,draft_number
Yinka Dare,NJN,1994,1,14
Zan Tabak,TOR,1991,2,51
Vlade Divac,CHH,1989,1,26
Stacey King,DAL,1989,1,6
Tony Massenburg,NJN,1990,2,43
Tony Delk,CHH,1996,1,16
Stephen Howard,UTA,Undrafted,Undrafted,Undrafted
Stephon Marbury,MIN,1996,1,4
Steve Hamer,BOS,1996,2,38
Steve Kerr,CHI,1988,2,50
Steve Nash,PHX,1996,1,15
Steve Scheffler,SEA,1990,2,39
Steven Smith,ATL,1991,1,5
Stevin Smith,DAL,Undrafted,Undrafted,Undrafted
Stojko Vrankovic,MIN,Undrafted,Undrafted,Undrafted
Terrell Brandon,CLE,1991,1,11
Terry Cummings,SEA,1982,1,2
Tony Dumas,PHX,1994,1,19
Terry Dehere,LAC,1993,1,13
Terry Porter,MIN,1985,1,24
Theo Ratliff,DET,1995,1,18
Tim Hardaway,MIA,1989,1,14
Tim Kempton,SAS,1986,6,124
Tim Legler,WAS,Undrafted,Undrafted,Undrafted
Todd Day,BOS,1992,1,8
Todd Fuller,GSW,1996,1,11
Tom Chambers,CHH,1981,1,8
Tom Gugliotta,MIN,1992,1,6
Tom Hammonds,DEN,1989,1,9
Toni Kukoc,CHI,1990,2,29
Terry Mills,DET,1990,1,16
Priest Lauderdale,ATL,1996,1,28
Shawn Respert,TOR,1995,1,8
Pooh Richardson,LAC,1989,1,10
Kevin Duckworth,LAC,1986,2,33
Kevin Edwards,NJN,1988,1,20
Kevin Gamble,SAC,1987,3,63
Kevin Garnett,MIN,1995,1,5
Kevin Johnson,PHX,1987,1,7
Kevin Salvadori,SAC,Undrafted,Undrafted,Undrafted
Kevin Willis,HOU,1984,1,11
Khalid Reeves,DAL,1994,1,12
Kobe Bryant,LAL,1996,1,13
Kurt Thomas,MIA,1995,1,10
LaPhonso Ellis,DEN,1992,1,5
LaSalle Thompson,IND,1982,1,5
Lamond Murray,LAC,1994,1,7
Larry Johnson,NYK,1991,1,1
Larry Krystkowiak,LAL,1986,2,28
Larry Stewart,SEA,Undrafted,Undrafted,Undrafted
Latrell Sprewell,GSW,1992,1,24
Lawrence Moten,VAN,1995,2,36
Lee Mayberry,VAN,1992,1,23
Lindsey Hunter,DET,1993,1,10
Lionel Simmons,SAC,1990,1,7
Litterial Green,DET,1992,2,39
Lloyd Daniels,NJN,Undrafted,Undrafted,Undrafted
Kerry Kittles,NJN,1996,1,8
Kenny Smith,DEN,1987,1,6
Kenny Anderson,POR,1991,1,2
Kendall Gill,NJN,1990,1,5
Jim Jackson,NJN,1992,1,4
Popeye Jones,TOR,1992,2,41
Jimmy Carruth,MIL,Undrafted,Undrafted,Undrafted
Jimmy King,DEN,1995,2,35
Jimmy Oliver,TOR,1991,2,39
Joe Courtney,SAS,Undrafted,Undrafted,Undrafted
Joe Dumars,DET,1985,1,18
Joe Kleine,NJN,1985,1,6
Joe Smith,GSW,1995,1,1
Joe Stephens,HOU,Undrafted,Undrafted,Undrafted
Joe Wolf,MIL,1987,1,13
Loren Meyer,PHX,1995,1,24
John Crotty,MIA,Undrafted,Undrafted,Undrafted
John Starks,NYK,Undrafted,Undrafted,Undrafted
John Stockton,UTA,1984,1,16
John Wallace,NYK,1996,1,18
Johnny Newman,MIL,1986,2,29
Jon Barry,ATL,1992,1,21
Jud Buechler,CHI,1990,2,38
Juwan Howard,WAS,1994,1,5
Karl Malone,UTA,1985,1,13
Keith Askins,MIA,Undrafted,Undrafted,Undrafted
Keith Tower,MIL,Undrafted,Undrafted,Undrafted
Ken Norman,ATL,1987,1,19
John Long,TOR,1978,2,29
Lorenzen Wright,LAC,1996,1,7
Jim McIlvaine,SEA,1994,2,32
Lou Roe,GSW,1995,2,30
Michael Curry,DET,Undrafted,Undrafted,Undrafted
Michael Finley,DAL,1995,1,21
Michael Hawkins,BOS,Undrafted,Undrafted,Undrafted
Michael Jordan,CHI,1984,1,3
Michael Smith,SAC,1994,2,35
Mike Brown,PHX,1985,3,69
Mitch Richmond,SAC,1988,1,5
Mitchell Butler,POR,Undrafted,Undrafted,Undrafted
Monty Williams,SAS,1994,1,24
Moochie Norris,VAN,1996,2,33
Mookie Blaylock,ATL,1989,1,12
Michael Cage,PHI,1984,1,14
