,Player,Tm,season17_18
394,Mindaugas Kuzminskas,NYK,3025035.0
395,Miroslav Raduljica,LAC,300000.0
396,Mirza Teletovic,MIL,10500000.0
397,Monta Ellis,IND,2245400.0
398,Montrezl Harrell,LAC,1471382.0
399,Myles Turner,IND,2569920.0
400,Nate Wolters,UTA,50000.0
401,Naz Mitrou-Long,UTA,71080.0
402,Nemanja Bjelica,MIN,3949999.0
403,Nene Hilario,HOU,3477600.0
404,Nerlens Noel,DAL,4187599.0
405,Nick Collison,OKC,2328652.0
406,Nick Young,GSW,5192000.0
407,Nicolas Batum,CHO,22434783.0
408,Nicolas Brussino,ATL,1312611.0
409,Nigel Hayes,LAL,46080.0
410,Nigel Hayes,NYK,50000.0
411,Nigel Hayes,TOR,46080.0
412,Nik Stauskas,BRK,3807146.0
413,Nikola Jokic,DEN,1471382.0
414,Nikola Mirotic,NOP,12500000.0
415,Nikola Pekovic,MIN,11600000.0
416,Nikola Vucevic,ORL,12250000.0
417,Noah Vonleh,CHI,3505233.0
418,Norman Powell,TOR,1471382.0
419,OG Anunoby,TOR,1645200.0
420,Okaro White,ATL,1312611.0
421,Omer Asik,CHI,10595505.0
422,Omri Casspi,GSW,2106470.0
423,Otto Porter,WAS,24773250.0
424,P.J. Tucker,HOU,7590035.0
425,Pascal Siakam,TOR,1312611.0
426,Pat Connaughton,POR,1471382.0
427,Patrick Beverley,LAC,5513514.0
428,Patrick McCaw,GSW,1312611.0
429,Patrick Patterson,OKC,5192000.0
430,Patty Mills,SAS,10714286.0
431,Pau Gasol,SAS,16000000.0
432,Paul George,OKC,19508958.0
433,Paul Millsap,DEN,31269231.0
434,Paul Pierce,LAC,1096080.0
435,Paul Zipser,CHI,1312611.0
436,Quincy Acy,BRK,1709538.0
437,Quincy Pondexter,CHI,3853931.0
438,Quinn Cook,ATL,100000.0
439,Quinn Cook,NOP,25000.0
440,Rade Zagorac,MEM,950000.0
441,Rajon Rondo,CHI,3000000.0
442,Rajon Rondo,NOP,3300000.0
443,Rakeem Christmas,IND,172552.0
444,Ramon Sessions,NYK,2328652.0
445,Ramon Sessions,WAS,263124.0
446,Rashad Vaughn,NOP,1889040.0
447,Rashad Vaughn,ORL,166258.0
448,Raul Neto,UTA,1471382.0
449,Raymond Felton,OKC,2328652.0
450,Reggie Bullock,DET,2500000.0
451,Reggie Jackson,DET,16000000.0
452,Richard Jefferson,ATL,2500000.0
453,Richard Jefferson,DEN,2328652.0
454,Richaun Holmes,PHI,1471382.0
455,Ricky Rubio,UTA,14275000.0
456,Robert Covington,PHI,16698103.0
457,Robin Lopez,CHI,13788500.0
458,Rodney Hood,CLE,2386864.0
459,Rodney McGruder,MIA,1312611.0
460,Rodney Purvis,ORL,46080.0
461,Ron Baker,NYK,4328000.0
462,Rondae Hollis-Jefferson,BRK,1471382.0
463,Ronnie Price,OKC,2442455.0
464,Royce O'Neale,UTA,815615.0
465,Rudy Gay,SAS,8406000.0
466,Rudy Gobert,UTA,21974719.0
467,Russell Westbrook,OKC,28530608.0
468,Ryan Anderson,HOU,19578455.0
469,Salah Mejri,DAL,1471382.0
470,Sam Dekker,LAC,1794600.0
471,Scotty Hopson,DAL,74159.0
472,Sean Kilpatrick,BRK,1524305.0
473,Sean Kilpatrick,LAC,172238.0
474,Sean Kilpatrick,MIL,789725.0
475,Semi Ojeleye,BOS,1291892.0
476,Serge Ibaka,TOR,20061729.0
477,Seth Curry,DAL,3028410.0
