,players,teams,age,player_height,player_weight,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct
3167,Kelvin Cato,ORL,30.0,210.82,124.7378,62.0,7.0,6.7,0.6,2.7,0.077,0.221,0.122,0.6,0.039
3168,Kelvin Cato,POR,23.5,210.82,115.66596000000001,58.5,3.65,3.45,0.35,3.15,0.10350000000000001,0.184,0.1505,0.486,0.0485
3169,Kemba Walker,BOS,29.0,182.88,83.46092800000001,48.0,21.6,4.1,5.0,7.7,0.02,0.10300000000000001,0.275,0.574,0.23600000000000002
3170,Kemba Walker,CHA,25.5,185.42000000000002,83.46092800000001,75.625,19.575,3.8125,5.4375,-1.8499999999999994,0.017875000000000002,0.10637499999999998,0.26949999999999996,0.527375,0.28300000000000003
3171,Ken Johnson,MIA,25.0,208.28,108.86208,16.0,2.0,2.0,0.0,-5.9,0.031,0.187,0.139,0.40399999999999997,0.0
3172,Ken Norman,ATL,32.0,203.2,97.52228000000001,17.0,3.8,2.3,0.7,-9.1,0.039,0.142,0.23399999999999999,0.322,0.107
3173,Kendall Gill,CHI,36.0,195.58,97.975872,56.0,9.6,3.4,1.6,-9.8,0.046,0.1,0.21899999999999997,0.44299999999999995,0.122
3174,Kendall Gill,MIA,34.0,195.58,97.52228000000001,65.0,5.7,2.8,1.5,-2.6,0.024,0.126,0.171,0.414,0.11800000000000001
3175,Kendall Gill,MIL,37.0,195.58,97.975872,14.0,6.1,2.6,1.9,-2.8,0.042,0.121,0.159,0.479,0.159
3176,Kendall Gill,MIN,35.0,195.58,97.52228000000001,82.0,8.7,3.0,1.9,0.7,0.027999999999999997,0.10800000000000001,0.187,0.47700000000000004,0.12
3177,Kendall Gill,NJN,31.0,195.58,97.975872,64.0,13.820000000000002,4.74,2.9,-2.9400000000000004,0.0432,0.11979999999999999,0.21539999999999998,0.46240000000000003,0.1504
3178,Kendall Marshall,LAL,22.0,193.04,88.45044,54.0,8.0,2.9,8.8,-5.7,0.011000000000000001,0.09300000000000001,0.163,0.494,0.426
3179,Kendall Marshall,MIL,23.0,193.04,90.7184,28.0,4.2,1.0,3.1,8.0,0.006,0.07200000000000001,0.16,0.562,0.301
3180,Kendall Marshall,PHI,24.0,193.04,90.7184,30.0,3.7,0.9,2.4,-14.6,0.005,0.076,0.18100000000000002,0.449,0.266
3181,Kendall Marshall,PHX,21.0,193.04,88.45044,48.0,3.0,0.9,3.0,-13.3,0.006,0.062,0.136,0.455,0.306
3182,Kendrick Nunn,MIA,24.0,187.96,86.18248,60.0,15.5,2.7,3.4,1.9,0.01,0.078,0.231,0.54,0.185
3183,Kendrick Perkins,BOS,22.0,208.28,125.9689782857143,63.142857142857146,5.7,5.314285714285715,0.9142857142857143,6.814285714285714,0.1152857142857143,0.22957142857142854,0.16757142857142857,0.571,0.07657142857142858
3184,Kendrick Perkins,CLE,31.5,208.28,122.46983999999999,34.5,3.3,2.85,1.4,9.549999999999999,0.0435,0.153,0.1285,0.494,0.1235
3185,Kendrick Perkins,NOP,31.0,208.28,122.46983999999999,37.0,2.5,3.5,0.8,-5.8,0.053,0.225,0.106,0.529,0.077
3186,Kendrick Perkins,OKC,27.5,208.28,123.60381999999998,58.5,4.675,6.375,1.15,6.175,0.08275,0.20350000000000001,0.11624999999999999,0.50475,0.0675
3187,Kenneth Faried,DEN,25.0,203.20000000000002,103.41897600000001,63.0,10.857142857142858,7.928571428571428,0.9857142857142858,-1.5571428571428572,0.1385714285714286,0.22885714285714284,0.19085714285714284,0.5755714285714285,0.06414285714285714
3188,Kenneth Faried,HOU,29.0,203.2,99.79024,37.0,10.4,6.8,0.5,4.0,0.12300000000000001,0.21,0.19399999999999998,0.622,0.043
3189,Kenny Anderson,BOS,29.0,185.42,76.203456,57.2,11.08,2.86,5.180000000000001,-0.68,0.023600000000000003,0.08679999999999999,0.1914,0.4952,0.28159999999999996
3190,Kenny Anderson,IND,33.0,185.42,76.203456,44.0,6.0,1.8,2.8,2.9,0.024,0.081,0.166,0.473,0.22899999999999998
3191,Kenny Anderson,LAC,34.0,185.42,76.203456,43.0,4.7,2.0,2.4,-12.0,0.035,0.11199999999999999,0.16,0.467,0.22
3192,Kenny Anderson,NOH,32.0,185.42,76.203456,61.0,6.1,2.2,3.2,-2.3,0.031,0.106,0.195,0.457,0.3
3193,Kenny Anderson,POR,26.0,185.42,76.203456,82.0,17.5,4.4,7.1,4.8,0.036000000000000004,0.102,0.222,0.54,0.31
3194,Kenny Satterfield,DEN,21.0,185.42,79.832192,36.0,5.3,1.4,3.0,-5.0,0.032,0.084,0.218,0.431,0.335
3195,Kenny Satterfield,PHI,22.0,187.96,77.11064,39.0,3.4,1.1,1.7,-10.4,0.034,0.073,0.209,0.34,0.256
3196,Kenny Smith,DEN,32.0,190.5,77.11064,48.0,6.3,0.9,2.4,-14.2,0.006,0.057999999999999996,0.19399999999999998,0.58,0.262
3197,Kenny Thomas,HOU,23.0,202.35333333333332,115.66596,72.66666666666667,9.833333333333334,6.3,1.5,-0.6666666666666666,0.08266666666666667,0.17600000000000002,0.18466666666666665,0.5013333333333333,0.08933333333333333
3198,Kenny Thomas,PHI,25.5,200.66,111.13004,70.0,11.85,9.05,1.6,-0.5,0.1125,0.209,0.1845,0.522,0.08399999999999999
3199,Kenny Thomas,SAC,29.5,200.66,111.13004,45.666666666666664,5.1000000000000005,4.8,1.0999999999999999,-4.7,0.09683333333333334,0.20450000000000002,0.12583333333333332,0.4713333333333333,0.08083333333333334
3200,Kenrich Williams,NOP,24.5,199.39,95.25431999999999,40.5,4.949999999999999,4.949999999999999,1.65,-3.05,0.051,0.1515,0.10450000000000001,0.4575,0.091
3201,Kent Bazemore,ATL,27.0,195.58,91.171992,71.0,10.46,3.8,2.3,-2.4,0.018600000000000002,0.13820000000000002,0.1992,0.5258,0.1406
3202,Kent Bazemore,GSW,23.0,195.58,91.171992,61.0,2.0,0.4,0.4,2.2,0.022000000000000002,0.068,0.264,0.45399999999999996,0.159
3203,Kent Bazemore,LAL,24.0,195.58,91.171992,67.0,6.0,1.7,1.4,-11.8,0.011000000000000001,0.13,0.222,0.515,0.16699999999999998
3204,Kent Bazemore,SAC,30.0,193.04,88.45044,63.0,8.6,4.3,1.3,1.0,0.013999999999999999,0.142,0.16699999999999998,0.49700000000000005,0.07400000000000001
3205,Kentavious Caldwell-Pope,DET,22.5,195.58,92.98635999999999,78.5,11.725000000000001,3.0250000000000004,1.575,-0.725,0.022750000000000003,0.0875,0.17525000000000002,0.506,0.07525
3206,Kentavious Caldwell-Pope,LAL,26.0,195.58,92.83516266666668,72.33333333333333,11.466666666666667,3.4,1.7333333333333334,0.2666666666666666,0.02266666666666667,0.08966666666666667,0.16133333333333333,0.5733333333333334,0.08533333333333333
3207,Kenyon Martin,DEN,30.0,205.74,108.47328685714285,53.0,11.728571428571428,7.385714285714286,1.6857142857142857,2.7285714285714286,0.07057142857142858,0.201,0.18914285714285714,0.5118571428571429,0.08828571428571429
3208,Kenyon Martin,LAC,34.0,205.74,108.86208,42.0,5.2,4.3,0.4,1.4,0.061,0.174,0.13699999999999998,0.445,0.031
