,players,teams,Rk,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
587,Terry Rozier\roziete01,BOS,435,23,80,2068,15.1,0.52,0.503,0.18600000000000003,3.4,16.3,9.9,17.5,1.9,0.8,8.5,20.4,2.2,3.4,5.6,0.13,0.8,1.0,1.8,2.0
588,Thabo Sefolosha\sefolth01,UTA,444,33,38,806,15.8,0.591,0.35,0.225,4.1,18.4,11.3,6.3,3.2,1.3,10.2,16.4,1.0,1.6,2.6,0.156,-0.3,2.3,1.9,0.8
589,Thaddeus Young\youngth01,IND,535,29,81,2607,14.8,0.528,0.209,0.106,8.0,14.1,11.1,8.5,2.6,1.2,10.4,17.3,2.3,3.2,5.5,0.10099999999999999,0.1,1.4,1.5,2.3
590,Thomas Bryant\bryanth01,LAL,75,20,15,72,9.9,0.441,0.47600000000000003,0.429,4.5,20.6,12.6,11.5,0.7,2.3,7.4,15.9,0.0,0.1,0.1,0.05,-3.8,-0.4,-4.2,0.0
591,Thon Maker\makerth01,MIL,312,20,74,1238,10.2,0.499,0.32899999999999996,0.294,7.1,14.2,10.6,5.2,1.5,3.7,11.0,14.6,0.3,1.1,1.5,0.055999999999999994,-2.7,0.0,-2.7,-0.2
592,Tim Frazier\fraziti01,WAS,165,27,59,838,11.3,0.475,0.326,0.174,2.4,13.1,7.8,31.1,2.8,0.7,23.5,12.8,0.4,1.0,1.4,0.08,-2.4,0.3,-2.1,0.0
593,Tim Hardaway\hardati02,NYK,193,25,57,1885,14.4,0.5329999999999999,0.479,0.209,1.9,11.3,6.6,12.7,1.6,0.5,9.0,23.8,1.6,1.1,2.6,0.067,1.7,-1.8,-0.1,0.9
594,Tim Quarterman\quartti01,HOU,418,23,3,13,2.9,0.515,0.667,0.667,0.0,25.8,13.0,10.6,0.0,0.0,34.0,20.0,0.0,0.0,0.0,-0.083,-8.9,-1.9,-10.8,0.0
595,Timofey Mozgov\mozgoti01,BRK,356,31,31,359,12.3,0.617,0.19399999999999998,0.32299999999999995,9.4,19.7,14.5,4.8,0.7,2.7,23.7,16.8,0.1,0.3,0.4,0.055,-3.8,-0.3,-4.1,-0.2
596,Timothe Luwawu-Cabarrot\luwawti01,PHI,306,22,52,807,7.0,0.511,0.5920000000000001,0.217,1.9,7.5,4.8,9.3,0.7,0.5,11.5,17.5,0.1,0.7,0.8,0.046,-2.3,-2.4,-4.7,-0.5
597,Tobias Harris\harrito02,DET,200,25,48,1563,16.7,0.564,0.389,0.192,2.5,15.0,8.6,9.9,1.1,0.9,6.2,23.2,2.6,1.5,4.1,0.125,1.4,-1.2,0.2,0.9
598,Tobias Harris\harrito02,LAC,200,25,32,1105,17.7,0.565,0.33,0.156,2.2,16.8,9.6,14.3,1.6,1.5,9.0,23.5,1.6,1.0,2.6,0.11199999999999999,1.7,-0.2,1.5,1.0
599,Tobias Harris\harrito02,TOT,200,25,80,2668,17.1,0.565,0.364,0.177,2.4,15.7,9.0,11.8,1.3,1.1,7.4,23.3,4.2,2.5,6.7,0.12,1.5,-0.8,0.7,1.8
600,Tomas Satoransky\satorto01,WAS,441,26,73,1643,15.4,0.615,0.263,0.25,5.0,11.1,8.0,24.8,1.6,0.8,16.3,13.7,3.7,1.3,5.0,0.145,1.3,-0.2,1.1,1.3
601,Tony Allen\allento01,NOP,10,36,22,273,8.7,0.514,0.132,0.231,8.2,10.4,9.3,4.6,1.9,0.9,15.9,18.9,-0.2,0.2,0.1,0.017,-4.0,-1.3,-5.2,-0.2
602,Tony Bradley\bradlto01,UTA,62,20,9,29,9.5,0.337,0.091,0.182,15.8,27.1,21.5,5.0,0.0,0.0,0.0,18.4,0.0,0.0,0.0,0.033,-6.6,-3.0,-9.6,-0.1
603,Tony Parker\parketo01,SAS,391,35,55,1071,12.7,0.498,0.095,0.201,0.7,9.2,4.9,28.2,1.3,0.1,13.9,20.5,0.4,1.1,1.4,0.065,-2.4,-1.7,-4.1,-0.6
604,Tony Snell\snellto01,MIL,460,26,75,2053,8.5,0.578,0.631,0.113,0.5,7.5,4.0,6.5,1.1,1.2,7.5,10.6,1.6,0.7,2.4,0.055999999999999994,-0.5,-1.3,-1.8,0.1
605,Torrey Craig\craigto01,DEN,115,27,39,629,9.8,0.535,0.423,0.255,7.2,15.5,11.4,5.4,0.9,2.0,11.6,11.9,0.5,0.4,0.9,0.069,-1.7,-0.8,-2.5,-0.1
606,Travis Wear\weartr01,LAL,504,27,17,228,6.9,0.49700000000000005,0.653,0.111,0.0,17.6,8.9,4.2,0.8,1.8,7.4,15.2,0.0,0.2,0.2,0.042,-3.7,-1.3,-5.1,-0.2
607,Treveon Graham\grahatr01,CHO,182,24,63,1050,9.0,0.5529999999999999,0.439,0.267,4.3,8.3,6.2,7.8,1.5,0.2,9.9,11.3,1.1,0.7,1.8,0.08,-0.6,-0.3,-0.9,0.3
608,Trevor Ariza\arizatr01,HOU,20,32,67,2269,11.8,0.5670000000000001,0.71,0.13699999999999998,1.7,12.9,7.3,6.8,2.1,0.5,7.0,14.4,2.6,2.8,5.3,0.113,0.8,0.7,1.5,2.0
609,Trevor Booker\booketr01,BRK,59,30,18,395,15.4,0.536,0.08,0.287,10.1,22.0,16.0,16.2,1.0,0.9,15.1,21.8,0.3,0.3,0.6,0.07200000000000001,-1.6,0.2,-1.5,0.1
610,Trevor Booker\booketr01,IND,59,30,17,269,14.7,0.512,0.16699999999999998,0.131,13.5,18.8,16.2,9.0,0.7,1.6,9.2,16.2,0.4,0.3,0.7,0.11800000000000001,-0.7,-0.6,-1.3,0.0
611,Trevor Booker\booketr01,PHI,59,30,33,494,14.5,0.618,0.064,0.358,10.7,15.7,13.3,7.6,1.6,1.9,13.7,12.6,1.0,0.7,1.7,0.163,-0.7,1.4,0.7,0.3
612,Trevor Booker\booketr01,TOT,59,30,68,1158,14.9,0.557,0.096,0.271,11.1,18.6,14.9,10.8,1.2,1.5,13.3,16.6,1.6,1.3,2.9,0.121,-1.0,0.5,-0.5,0.4
613,Trey Burke\burketr01,NYK,77,25,36,785,21.0,0.563,0.273,0.14800000000000002,1.8,8.2,5.0,36.4,1.5,0.4,9.5,25.1,2.0,0.3,2.4,0.145,4.2,-3.2,1.0,0.6
614,Trey Lyles\lylestr01,DEN,308,22,73,1391,17.9,0.591,0.396,0.26,4.5,23.5,14.0,10.1,1.1,2.0,9.0,21.1,2.7,1.2,3.9,0.134,0.6,-1.4,-0.8,0.4
615,Trey McKinney-Jones\mckintr01,IND,329,27,1,1,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-0.001,-5.8,-0.1,-5.9,0.0
616,Tristan Thompson\thomptr01,CLE,480,26,53,1072,13.6,0.569,0.0,0.336,13.4,23.3,18.4,4.3,0.7,1.3,11.8,12.6,1.8,0.7,2.5,0.113,-1.6,-0.9,-2.5,-0.1
617,Troy Daniels\danietr01,PHO,121,26,79,1622,9.8,0.583,0.797,0.111,0.8,7.7,4.2,4.5,0.8,0.2,8.5,17.2,1.4,0.0,1.4,0.042,0.7,-3.6,-2.9,-0.4
618,Troy Williams\willitr02,HOU,523,23,4,17,-2.4,0.242,0.556,0.33299999999999996,6.7,19.7,13.3,8.6,2.9,0.0,8.8,29.4,-0.1,0.0,-0.1,-0.26,-11.6,-2.6,-14.2,-0.1
619,Troy Williams\willitr02,NYK,523,23,17,290,16.2,0.5720000000000001,0.33,0.27,8.1,14.5,11.3,7.7,3.2,1.2,13.9,19.5,0.3,0.3,0.6,0.105,0.6,0.3,0.9,0.2
620,Troy Williams\willitr02,TOT,523,23,21,307,15.1,0.544,0.349,0.275,8.0,14.8,11.4,7.7,3.2,1.1,13.5,20.1,0.2,0.4,0.5,0.085,-0.1,0.2,0.0,0.2
621,Tyler Cavanaugh\cavanty01,ATL,92,23,39,518,13.0,0.5670000000000001,0.586,0.138,9.7,17.7,13.7,7.8,0.8,0.7,8.0,14.8,0.9,0.3,1.2,0.109,0.5,-1.5,-1.0,0.1
622,Tyler Dorsey\dorsety01,ATL,134,21,56,974,10.0,0.494,0.521,0.165,2.0,12.9,7.4,12.5,0.9,0.4,8.3,20.0,0.0,0.4,0.4,0.02,-1.8,-2.5,-4.2,-0.5
623,Tyler Ennis\ennisty01,LAL,149,23,54,683,11.1,0.473,0.25,0.129,3.0,11.8,7.4,21.9,2.1,1.2,13.8,17.1,0.1,0.7,0.8,0.057999999999999996,-2.8,-0.1,-2.9,-0.1
624,Tyler Johnson\johnsty01,MIA,261,25,72,2052,13.0,0.5489999999999999,0.456,0.18100000000000002,1.9,11.7,6.8,12.4,1.5,1.4,9.5,18.6,1.9,2.3,4.2,0.09699999999999999,-0.1,-0.1,-0.2,0.9
625,Tyler Lydon\lydonty01,DEN,307,21,1,2,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-0.013999999999999999,-5.7,-0.8,-6.5,0.0
626,Tyler Ulis\ulisty01,PHO,488,22,71,1658,10.1,0.465,0.265,0.183,1.5,6.8,4.1,28.0,2.0,0.3,17.6,18.5,-0.7,0.5,-0.2,-0.006,-2.8,-2.4,-5.2,-1.3
627,Tyler Zeller\zellety01,BRK,537,28,42,703,15.3,0.5870000000000001,0.114,0.262,9.4,20.0,14.7,6.5,0.6,2.2,12.1,17.9,1.0,0.6,1.5,0.105,-1.9,-0.6,-2.5,-0.1
628,Tyler Zeller\zellety01,MIL,537,28,24,406,17.1,0.622,0.019,0.18100000000000002,13.6,18.4,16.0,7.0,0.9,2.9,9.6,13.9,1.1,0.3,1.4,0.163,0.3,-0.4,-0.1,0.2
629,Tyler Zeller\zellety01,TOT,537,28,66,1109,16.0,0.598,0.084,0.237,11.0,19.4,15.2,6.7,0.7,2.5,11.3,16.4,2.0,0.9,2.9,0.126,-1.1,-0.5,-1.6,0.1
630,Tyreke Evans\evansty01,MEM,152,28,52,1607,21.1,0.561,0.354,0.258,3.1,16.3,9.5,31.2,1.8,1.0,11.5,28.4,3.1,1.2,4.2,0.126,4.4,-0.8,3.6,2.3
631,Tyrone Wallace\wallaty01,LAC,499,23,30,851,10.1,0.517,0.162,0.316,2.7,10.7,6.8,11.8,1.5,1.3,14.1,16.6,0.2,0.5,0.7,0.042,-2.1,0.2,-2.0,0.0
632,Tyson Chandler\chandty01,PHO,94,35,46,1151,14.2,0.6579999999999999,0.0,0.49700000000000005,12.2,26.8,19.4,6.6,0.7,1.9,20.5,10.6,1.9,0.8,2.7,0.111,-1.3,1.0,-0.3,0.5
633,Tyus Jones\jonesty01,MIN,267,21,82,1467,14.1,0.5720000000000001,0.39299999999999996,0.247,1.2,9.2,5.2,21.2,3.2,0.4,14.0,12.7,2.3,1.2,3.6,0.11699999999999999,0.8,-0.3,0.5,0.9
634,Udonis Haslem\hasleud01,MIA,205,37,14,72,1.8,0.252,0.5329999999999999,0.133,4.7,10.9,7.8,9.2,0.0,2.4,11.2,11.1,-0.1,0.1,-0.1,-0.059000000000000004,-7.1,-0.4,-7.5,-0.1
635,Vander Blue\blueva01,LAL,53,25,5,45,-1.8,0.255,0.4,0.4,0.0,2.3,1.2,8.2,1.1,0.0,33.8,8.4,-0.1,0.0,-0.1,-0.10300000000000001,-8.7,-1.3,-10.0,-0.1
636,Victor Oladipo\oladivi01,IND,382,25,75,2552,23.1,0.5770000000000001,0.32299999999999995,0.27399999999999997,2.1,15.1,8.6,21.2,3.5,2.0,12.7,30.1,4.3,4.0,8.3,0.155,3.6,1.3,4.9,4.5
637,Vince Carter\cartevi01,SAC,87,41,58,1026,10.8,0.523,0.583,0.131,1.9,15.1,8.2,9.7,2.1,2.4,10.7,14.7,0.3,0.9,1.2,0.055999999999999994,-1.5,0.4,-1.1,0.2
638,Vince Hunter\huntevi01,MEM,232,23,4,7,35.8,0.6,0.0,0.0,32.3,16.9,24.8,0.0,0.0,13.4,16.7,38.5,0.0,0.0,0.0,0.09699999999999999,-3.1,-5.9,-9.0,0.0
639,Wade Baldwin\baldwwa01,POR,28,21,7,80,16.6,0.748,0.23800000000000002,0.47600000000000003,1.4,9.5,5.5,9.8,1.2,1.0,13.6,16.1,0.2,0.1,0.3,0.187,1.1,-1.1,0.0,0.0
640,Walt Lemon Jr.\lemonwa01,NOP,291,25,5,35,6.9,0.491,0.063,0.188,0.0,6.0,3.1,21.1,0.0,2.3,18.8,26.4,-0.1,0.0,-0.1,-0.071,-7.5,-4.2,-11.7,-0.1
641,Wayne Ellington\ellinwa01,MIA,146,30,77,2041,12.5,0.588,0.8270000000000001,0.111,1.3,10.7,6.0,5.9,1.3,0.3,6.6,17.3,2.6,1.9,4.5,0.105,1.8,-1.8,0.0,1.0
642,Wayne Selden\seldewa01,MEM,445,23,35,692,11.8,0.551,0.45399999999999996,0.21899999999999997,2.6,6.8,4.7,16.0,1.3,0.7,15.5,22.6,0.1,0.2,0.3,0.023,-0.7,-3.3,-4.0,-0.4
